id,name,address_prefix,city,state,zip,latitude,longitude,street,more_info_url,indoor,outdoor,available_federal,available_academia,available_industry,Technology_WiFi,Technology_SATCOM,Technology_WiMAX,Technology_UMTS,Technology_ZigBee,Technology_Bluetooth,Technology_SDR,Technology_TDMA,Technology_DAMA,Technology_mini-CDL,Technology_TTNT,Technology_QNT,Technology_LegacyHF,Technology_VHF,Technology_UHF,Technology_117G_radios,Technology_WNaN_radios,Technology_microwave,Technology_optical,Technology_GNU_radios,Technology_LTE,Technology_Project25LMR,Technology_U-NIIDynamicFrequencySelectionRadio,Technology_Point_to_Point_Microwave,Technology_WiredMPLS,Technology_VirtualModeledWiFi,Technology_Tactical_Radio,freq30M_300M,freq300M_3G,freq3G_30G,freq30G_300G,freq0_30M,GENI
15,Yuma Proving Ground (US Army Test Ranges),,Yuma,AZ,85365,33.017781,-114.252539,301 C Street PECP-WER-D,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=US_Army_Test_Ranges,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
16,Idaho National Laboratory Wireless National Testbed,,Idaho Falls,ID,83415,43.519585,-112.046184,2525 Fremont Avenue,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=INL_Wireless_Testbed,YES,YES,YES,YES,YES,YES,,YES,YES,,,,,,,,,,YES,YES,,,YES,YES,,,,,,,,,,,,YES,YES,NO
17,CMUlab,Carnegie Mellon University,Pittsburgh,PA,15213,40.443504,-79.942973,5000 Forbes Ave,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=CMUlab,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
18,"D Meas, LEARN",University of Houston,Houston,TX,77004,29.718432,-95.339733,4800 Calhoun Road,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=D_Meas,_LEARN",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
19,Digital Object Registry,Corporation for National Research Initiatives (CNRI),Reston,VA,20191,38.943039,-77.325989,1895 Preston White Drive,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=Digital_Object_Registry,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
20,"CLOUD-CTL, ViSE",University of Massachusetts Amherst,Amherst,MA,1003,42.389423,-72.527877,140 Governors Drive,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=CLOUD-CTL,_ViSE",NO,YES,YES,YES,YES,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
21,"BGPMux, DTunnels",The Georgia Institute of Technology,Atlanta,GA,30332,33.772423,-84.395052,225 North Ave,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=BGPMux,_DTunnels",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
22,"EnterpriseGENI, OpenFlow",Stanford University,Stanford,CA,94305,37.428301,-122.16883,450 Serra Mall,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=EnterpriseGENI,_OpenFlow",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
23,GENI4YR,Langston University,Langston,OK,73050,35.94883,-97.257194,100 Success Ave ,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=GENI4YR,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
24,"GMOC, netKarma, K-GENI",Indiana University,Bloomington,IN,47405,39.166482,-86.526913,107 S. Indiana Ave.,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=GMOC,_netKarma,_K-GENI",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
25,GpENI,University of Kansas,Lawrence,KS,66047,38.956771,-95.281499,1515 Saint Andrews Drive,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=GpENI,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
26,Gush Proto,Williams College,Williamstown,MA,1267,42.711689,-73.201451,880 Main Street,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=GushProto,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
